1	33
2	107
3	107
4	96
5	90
6	119
7	110
8	126
9	101
10	57
11	157
12	163
13	153
14	110
15	90
16	123
17	136
18	157
19	143
20	150
21	119
22	30
23	143
24	111
25	119
26	93
27	84
28	121
29	31
30	100
31	0
32	63
33	20
34	63
35	0
36	21
37	89
38	64
39	63
40	21
41	71
42	83
43	36
44	86
45	36
46	26
47	73
48	21
49	77
50	23
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
